True,Aggressive scan,ICMP flood or fragmentation,Identity rotation and rotation flood,Normal,OS fingerprinting,Port scanning,Service detection,Slow request starvation,Stealth SYN scanning,TCP floods,UDP flood,Vulnerability scan
Aggressive scan,18343,49,0,1,620,517,413,1,194,0,0,363
ICMP flood or fragmentation,0,8,0,0,0,0,0,0,0,0,0,0
Identity rotation and rotation flood,1,1,52424,0,0,0,0,0,0,10,0,0
Normal,0,0,0,17,0,0,0,0,0,0,0,0
OS fingerprinting,360,80,0,1,25526,435,428,1,311,0,0,911
Port scanning,1294,3,0,1,3515,69254,3174,14,4754,0,0,3304
Service detection,1237,3,0,2,2018,2372,49770,1,1957,0,0,1201
Slow request starvation,1,0,0,0,0,0,0,839,0,0,0,0
Stealth SYN scanning,1836,8,0,0,3576,4772,3016,0,89534,0,0,3443
TCP floods,2,27,3,1,0,0,0,2,0,144174,0,0
UDP flood,0,4,0,0,0,2,2,0,0,0,6487,0
Vulnerability scan,1493,8,0,0,1840,1213,1377,2,1019,0,0,39318
