True,Aggressive scan,ICMP flood or fragmentation,Identity rotation and rotation flood,Normal,OS fingerprinting,Port scanning,Service detection,Slow request starvation,Stealth SYN scanning,TCP floods,UDP flood,Vulnerability scan
Aggressive scan,18550,50,0,3,617,412,355,11,193,0,0,310
ICMP flood or fragmentation,0,8,0,0,0,0,0,0,0,0,0,0
Identity rotation and rotation flood,2,1,52424,0,0,0,0,0,0,9,0,0
Normal,0,0,0,17,0,0,0,0,0,0,0,0
OS fingerprinting,286,19,0,1,25761,313,504,5,302,0,0,862
Port scanning,1279,4,0,1,3035,69958,3271,14,4500,0,0,3251
Service detection,1225,5,0,1,1328,2299,50555,4,1925,0,0,1219
Slow request starvation,1,1,0,0,0,0,0,838,0,0,0,0
Stealth SYN scanning,1968,4,0,0,2963,4800,3100,0,89787,0,0,3563
TCP floods,1,25,3,5,1,0,0,0,0,144174,0,0
UDP flood,1,3,0,0,0,0,2,0,0,0,6488,1
Vulnerability scan,1480,9,0,2,1499,1190,1391,3,852,0,0,39844
