True,Aggressive scan,ICMP flood or fragmentation,Identity rotation and rotation flood,Normal,OS fingerprinting,Port scanning,Service detection,Slow request starvation,Stealth SYN scanning,TCP floods,UDP flood,Vulnerability scan
Aggressive scan,116,143,0,48,18590,686,0,918,0,0,0,0
ICMP flood or fragmentation,0,8,0,0,0,0,0,0,0,0,0,0
Identity rotation and rotation flood,0,3,52432,0,0,0,0,1,0,0,0,0
Normal,0,2,0,15,0,0,0,0,0,0,0,0
OS fingerprinting,44,101,0,1,26507,972,1,427,0,0,0,0
Port scanning,0,4,0,2,81214,3071,0,1022,0,0,0,0
Service detection,0,11,0,51,54774,2108,209,1408,0,0,0,0
Slow request starvation,0,6,0,0,199,6,0,629,0,0,0,0
Stealth SYN scanning,0,7,0,0,100069,3706,0,2403,0,0,0,0
TCP floods,0,34,894,2,0,0,0,1,0,143278,0,0
UDP flood,0,6,0,0,0,0,0,0,0,0,6489,0
Vulnerability scan,0,19,0,42,43046,1551,0,1416,0,0,0,196
