class,Decision Tree,Random Forest,XGBoost,LightGBM,CatBoost,SVM,Logistic Regression,AutoML-Ensemble,LAE-XAI-IDS
Aggressive scan,0.7940445558707748,0.2853937536310275,0.4323321073423239,0.4113320991218982,0.4048071987196908,0.01122888533952858,0.12796701326640372,0.8140143782728322,0.8190930366052899
ICMP flood or fragmentation,0.07239819004524888,0.12030075187969924,0.1797752808988764,0.19047619047619047,0.1509433962264151,0.045454545454545456,0.1839080459770115,0.08040201005025126,0.11678832116788321
Identity rotation and rotation flood,0.9998760239941255,0.9998569562190668,0.9998569562190668,0.9998569562190668,0.9983244478293983,0.9915092377224334,0.9973559567061688,0.9998569562190668,0.9998569562190668
Normal,0.85,0.8717948717948718,0.7555555555555555,0.918918918918919,0.8717948717948718,0.16853932584269662,0.8947368421052632,0.85,0.723404255319149
OS fingerprinting,0.6973673463831641,0.2930021522889884,0.40833802521833634,0.4225388467296474,0.3919649997647834,0.15041480825757833,0.0998946497102867,0.7836311168416529,0.8144869342523358
Port scanning,0.8400091838191036,0.38188596238817807,0.42458911945850775,0.44750074746541274,0.3946950948664255,0.06305113280568302,0.24226729966911237,0.8451897142996619,0.8516663115926592
Service detection,0.8464746421629263,0.36194438548078967,0.4430868537836436,0.4675482166885393,0.4281955145844799,0.0071123513297374555,0.012089170258620689,0.8526567358511576,0.8587638760308819
Slow request starvation,0.959954233409611,0.738556338028169,0.9755813953488373,0.7165591397849462,0.5918871252204585,0.13877551020408163,0.04050929494096248,0.9870588235294118,0.9772594752186589
Stealth SYN scanning,0.8703869010923976,0.4829523558404154,0.5165720006093447,0.5210350639479163,0.47778530969587646,0.0,0.38560068199138037,0.8779822901242437,0.8813707397518454
TCP floods,0.9996741090001386,0.9998578328877608,0.9998370302048911,0.9998543659022032,0.9992783240463815,0.9967615926981046,0.9989309935512533,0.9998439629255911,0.9998474298870981
UDP flood,0.9995378927911276,0.9995378927911276,0.9992295839753467,0.999383762132183,0.9995378927911276,0.9995378927911276,0.9993839519482519,0.999383762132183,0.9994608333975198
Vulnerability scan,0.8240719934084513,0.3650958732594889,0.49300939498611557,0.4952807427280974,0.441222085842872,0.008436275986742995,0.19420136844456176,0.8294061807826179,0.8360050356693244
