,precision,recall,f1-score,support
Aggressive scan,0.7481950550558626,0.9048339105409492,0.8190930366052899,20501.0
ICMP flood or fragmentation,0.06201550387596899,1.0,0.11678832116788321,8.0
Identity rotation and rotation flood,0.9999427775764396,0.9997711495918834,0.9998569562190668,52436.0
Normal,0.5666666666666667,1.0,0.723404255319149,17.0
OS fingerprinting,0.7317634359731848,0.9182975082878837,0.8144869342523358,28053.0
Port scanning,0.885858278883655,0.820015706867652,0.8516663115926592,85313.0
Service detection,0.8542870661394437,0.863287853691023,0.8587638760308819,58561.0
Slow request starvation,0.9577142857142857,0.9976190476190476,0.9772594752186589,840.0
Stealth SYN scanning,0.9203353867915826,0.8455714083910156,0.8813707397518454,106185.0
TCP floods,0.9999375793262728,0.9997572967013154,0.9998474298870981,144209.0
UDP flood,1.0,0.9989222478829869,0.9994608333975198,6495.0
Vulnerability scan,0.8123139653414883,0.8611195158850227,0.8360050356693244,46270.0
accuracy,0.9080249522671292,0.9080249522671292,0.9080249522671292,0.9080249522671292
macro avg,0.7949191667787375,0.934099637121565,0.8231669337593092,548888.0
weighted avg,0.9122520919784893,0.9080249522671292,0.908747756045033,548888.0
