feature,Aggressive scan,ICMP flood or fragmentation,Identity rotation and rotation flood,Normal,OS fingerprinting,Port scanning,Service detection,Slow request starvation,Stealth SYN scanning,TCP floods,UDP flood,Vulnerability scan
expiration_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src_port,0.08883912029737973,0.001295061796667023,0.0,0.0,0.09131969010185284,0.13967213617443183,0.107408176563845,0.06483992288042953,0.1356566098403739,1.4861392819520906e-06,1.3191826645810034e-18,0.10668168970158234
dst_port,0.0011555521922654568,0.0,0.0,0.0,0.0010693458427928088,0.0039252417622563564,0.001028748419831109,0.00419222336839137,0.0013982099105226326,0.0,0.0,0.0025211758659298986
protocol,0.0,0.003570339244598125,0.0,0.0,0.0,0.0,0.020670990139983757,0.0,0.0,0.0,0.08101764575055789,0.06350723371008957
ip_version,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_duration_ms,0.0066717775157698845,0.0,0.0,0.0,0.008361986843977137,0.012242006591251724,0.010942410099668598,0.0,0.012032064520285818,0.0,0.0,0.01571871962185656
bidirectional_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.00042601923927383423,0.0,0.00042601923927383423,0.0,0.0,0.0
bidirectional_bytes,0.004642897461904233,0.0,0.0,0.0,0.006554874757583464,0.0,0.0,0.0010020147226434642,0.0,0.0,0.0,0.0009099625730355778
src2dst_duration_ms,0.004482677576619942,0.016672270136900057,0.0,0.03960526161383575,0.004289456249365801,5.753983754638393e-05,2.2959891488611466e-05,0.013687500215899475,0.0,8.708078399446122e-05,0.0,0.000305776922020567
src2dst_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_bytes,0.034869736425090635,0.039214276132774416,0.05866793207237382,0.03275871271666065,0.04923282063006462,0.11223582174038203,0.05149868863339818,0.023663478579764592,0.08615398216962732,0.11463822005744187,0.07131647595958095,0.0857082527285079
dst2src_duration_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_packets,0.0010283528825894995,0.0,0.0,0.0,0.0009990244342139255,0.008545653829215235,0.0012345923281465647,0.013053581337852898,0.0016649360710755024,0.0,0.0,0.003616617533177335
