,feature,mean_abs_shap,relative_importance,cumulative_importance
0,src2dst_bytes,0.06332986648713919,0.2300778030814501,0.2300778030814501
1,src_port,0.061309491124653656,0.22273776668811648,0.4528155697695666
2,src2dst_max_ps,0.030491869282823436,0.11077715279667377,0.5635927225662404
3,application_is_guessed,0.02265942412516234,0.08232183029892991,0.6459145528651703
4,src2dst_syn_packets,0.020572657001130222,0.07474059221851477,0.7206551450836851
5,bidirectional_min_piat_ms,0.016255131208541947,0.059054993871202034,0.7797101389548872
6,protocol,0.014063850737102477,0.05109405814261556,0.8308041970975028
7,bidirectional_stddev_piat_ms,0.007182389151812431,0.026093664941811135,0.8568978620393138
8,src2dst_duration_ms,0.006600876935639264,0.023981027404681356,0.8808788894439952
9,bidirectional_min_ps,0.006177470312421093,0.022442788480714022,0.9033216779247092
10,src2dst_min_piat_ms,0.005542063974997927,0.02013435326226869,0.9234560311869778
11,bidirectional_duration_ms,0.0054974137660675155,0.019972138772523587,0.9434281699595014
12,dst2src_packets,0.0025118965346892703,0.009125735901978875,0.9525539058614803
13,bidirectional_stddev_ps,0.0021826746809208695,0.007929670837530673,0.960483576699011
14,application_name,0.002164749973343472,0.007864550262215352,0.9683481269612263
15,dst2src_max_ps,0.002102959775053156,0.007640066083372338,0.9759881930445986
16,bidirectional_mean_piat_ms,0.001992951032559146,0.007240403630303457,0.983228596674902
17,dst_port,0.0012742081134991406,0.004629206086862296,0.9878578027617644
18,src2dst_mean_ps,0.001242044247529753,0.004512354559592052,0.9923701573213565
19,bidirectional_bytes,0.0010924791262639107,0.00396898353376739,0.9963391408551239
20,bidirectional_max_piat_ms,0.0007039897479755078,0.0025575991801429325,0.9988967400352669
21,requested_server_name,9.983120995901757e-05,0.00036268741338651327,0.9992594274486534
22,bidirectional_packets,7.100320654563904e-05,0.0002579550957537007,0.999517382544407
23,src2dst_stddev_ps,4.601553765335085e-05,0.00016717473757890696,0.9996845572819859
24,client_fingerprint,3.404299923533752e-05,0.00012367843023892286,0.9998082357122249
25,src2dst_fin_packets,2.1783995976036756e-05,7.91413943296329e-05,0.9998873771065545
26,dst2src_min_ps,1.9774075373309828e-05,7.183934014422789e-05,0.9999592164466987
27,application_category_name,1.122584165381975e-05,4.078355330143622e-05,1.0000000000000002
28,application_confidence,4.636368950346395e-20,1.68439575439082e-19,1.0000000000000002
29,bidirectional_fin_packets,9.611565196810297e-21,3.491887678470511e-20,1.0000000000000002
30,dst2src_rst_packets,7.982932597477091e-22,2.9002044312659537e-21,1.0000000000000002
31,dst2src_fin_packets,0.0,0.0,1.0000000000000002
32,bidirectional_rst_packets,0.0,0.0,1.0000000000000002
33,dst2src_psh_packets,0.0,0.0,1.0000000000000002
34,dst2src_ack_packets,0.0,0.0,1.0000000000000002
35,dst2src_syn_packets,0.0,0.0,1.0000000000000002
36,server_fingerprint,0.0,0.0,1.0000000000000002
37,src2dst_rst_packets,0.0,0.0,1.0000000000000002
38,src2dst_psh_packets,0.0,0.0,1.0000000000000002
39,src2dst_ack_packets,0.0,0.0,1.0000000000000002
40,user_agent,0.0,0.0,1.0000000000000002
41,expiration_id,0.0,0.0,1.0000000000000002
42,src2dst_stddev_piat_ms,0.0,0.0,1.0000000000000002
43,bidirectional_psh_packets,0.0,0.0,1.0000000000000002
44,dst2src_stddev_ps,0.0,0.0,1.0000000000000002
45,ip_version,0.0,0.0,1.0000000000000002
46,src2dst_packets,0.0,0.0,1.0000000000000002
47,dst2src_duration_ms,0.0,0.0,1.0000000000000002
48,dst2src_bytes,0.0,0.0,1.0000000000000002
49,bidirectional_mean_ps,0.0,0.0,1.0000000000000002
50,bidirectional_max_ps,0.0,0.0,1.0000000000000002
51,src2dst_min_ps,0.0,0.0,1.0000000000000002
52,dst2src_mean_ps,0.0,0.0,1.0000000000000002
53,src2dst_mean_piat_ms,0.0,0.0,1.0000000000000002
54,bidirectional_ack_packets,0.0,0.0,1.0000000000000002
55,src2dst_max_piat_ms,0.0,0.0,1.0000000000000002
56,dst2src_min_piat_ms,0.0,0.0,1.0000000000000002
57,dst2src_mean_piat_ms,0.0,0.0,1.0000000000000002
58,dst2src_stddev_piat_ms,0.0,0.0,1.0000000000000002
59,dst2src_max_piat_ms,0.0,0.0,1.0000000000000002
60,bidirectional_syn_packets,0.0,0.0,1.0000000000000002
61,bidirectional_cwr_packets,0.0,0.0,1.0000000000000002
62,bidirectional_urg_packets,0.0,0.0,1.0000000000000002
63,content_type,0.0,0.0,1.0000000000000002
