,feature,mean_abs_shap,relative_importance,cumulative_importance,selected
19,bidirectional_bytes,0.0010924791262639107,0.00396898353376739,0.9963391408551239,False
18,src2dst_mean_ps,0.001242044247529753,0.004512354559592052,0.9923701573213565,False
17,dst_port,0.0012742081134991406,0.004629206086862296,0.9878578027617644,False
16,bidirectional_mean_piat_ms,0.001992951032559146,0.007240403630303457,0.983228596674902,False
15,dst2src_max_ps,0.002102959775053156,0.007640066083372338,0.9759881930445986,False
14,application_name,0.002164749973343472,0.007864550262215352,0.9683481269612263,False
13,bidirectional_stddev_ps,0.0021826746809208695,0.007929670837530673,0.960483576699011,False
12,dst2src_packets,0.0025118965346892703,0.009125735901978875,0.9525539058614803,True
11,bidirectional_duration_ms,0.0054974137660675155,0.019972138772523587,0.9434281699595014,True
10,src2dst_min_piat_ms,0.005542063974997927,0.02013435326226869,0.9234560311869778,True
9,bidirectional_min_ps,0.006177470312421093,0.022442788480714022,0.9033216779247092,True
8,src2dst_duration_ms,0.006600876935639264,0.023981027404681356,0.8808788894439952,True
7,bidirectional_stddev_piat_ms,0.007182389151812431,0.026093664941811135,0.8568978620393138,True
6,protocol,0.014063850737102477,0.05109405814261556,0.8308041970975028,True
5,bidirectional_min_piat_ms,0.016255131208541947,0.059054993871202034,0.7797101389548872,True
4,src2dst_syn_packets,0.020572657001130222,0.07474059221851477,0.7206551450836851,True
3,application_is_guessed,0.02265942412516234,0.08232183029892991,0.6459145528651703,True
2,src2dst_max_ps,0.030491869282823436,0.11077715279667377,0.5635927225662404,True
1,src_port,0.061309491124653656,0.22273776668811648,0.4528155697695666,True
0,src2dst_bytes,0.06332986648713919,0.2300778030814501,0.2300778030814501,True
