,feature,shap_value,feature_value
1,src_port,-0.07682847893228961,0.6314488441290913
25,dst2src_max_ps,-0.02545428878980041,0.0136054421768707
57,application_is_guessed,-0.010938785918395758,0.0
21,src2dst_max_ps,-0.005600286248780267,0.0
26,bidirectional_min_piat_ms,-0.005246015218102047,0.0
16,bidirectional_stddev_ps,-0.004853189337254782,0.0
5,bidirectional_duration_ms,-0.0026111687977970386,0.0
2,dst_port,-0.0013327893945512276,0.0198367284657053
27,bidirectional_mean_piat_ms,-0.0010843895762552252,0.0
7,bidirectional_bytes,-0.0007629086549792943,9.804380384793046e-09
60,client_fingerprint,-0.00015436118848325943,1.0
38,bidirectional_syn_packets,0.0,0.0056818181818181
39,bidirectional_cwr_packets,0.0,0.0
40,bidirectional_urg_packets,0.0,0.0
37,dst2src_max_piat_ms,0.0,0.0
41,bidirectional_ack_packets,0.0,7.298204641658152e-05
42,bidirectional_psh_packets,0.0,0.0
43,bidirectional_rst_packets,0.0,0.0526315789473684
44,bidirectional_fin_packets,0.0,0.0
0,expiration_id,0.0,0.0
47,src2dst_psh_packets,0.0,0.0
48,src2dst_rst_packets,0.0,0.0
36,dst2src_stddev_piat_ms,0.0,0.0
50,dst2src_syn_packets,0.0,0.0
51,dst2src_ack_packets,0.0,0.0001448225923244
52,dst2src_psh_packets,0.0,0.0
53,dst2src_rst_packets,0.0,0.0526315789473684
54,dst2src_fin_packets,0.0,0.0
56,application_category_name,0.0,0.8235294117647058
58,application_confidence,0.0,0.0
59,requested_server_name,0.0,1.0
61,server_fingerprint,0.0,1.0
46,src2dst_ack_packets,0.0,0.0
35,dst2src_mean_piat_ms,0.0,0.0
31,src2dst_mean_piat_ms,0.0,0.0
33,src2dst_max_piat_ms,0.0,0.0
3,protocol,0.0,0.0204081632653061
4,ip_version,0.0,0.0
6,bidirectional_packets,0.0,9.315038225656617e-08
9,src2dst_packets,0.0,0.0
11,dst2src_duration_ms,0.0,0.0
13,dst2src_bytes,0.0,4.075328369583379e-06
15,bidirectional_mean_ps,0.0,0.0
34,dst2src_min_piat_ms,0.0,0.0
17,bidirectional_max_ps,0.0,0.0
18,src2dst_min_ps,0.0,0.0
63,content_type,0.0,1.0
20,src2dst_stddev_ps,0.0,0.0
22,dst2src_min_ps,0.0,0.0396301188903566
23,dst2src_mean_ps,0.0,0.0396301188903566
32,src2dst_stddev_piat_ms,0.0,0.0
24,dst2src_stddev_ps,0.0,0.0
62,user_agent,0.0,1.0
30,src2dst_min_piat_ms,0.0,0.0
49,src2dst_fin_packets,1.771887662318736e-07,0.0
29,bidirectional_max_piat_ms,0.00026369667448625646,0.0
19,src2dst_mean_ps,0.000800955984104052,0.0
12,dst2src_packets,0.0010663023194588412,4.075328369583379e-06
8,src2dst_duration_ms,0.0022168784673844617,0.0
45,src2dst_syn_packets,0.003670171669896232,0.006060606060606
55,application_name,0.005215302967790604,0.9384615384615383
14,bidirectional_min_ps,0.008390748407908884,0.0
28,bidirectional_stddev_piat_ms,0.014552222509896627,0.0
10,src2dst_bytes,0.015356872533609331,0.0
