,precision,recall,f1-score,support
BENIGN,0.9669421487603306,0.9945,0.9805274833620902,2000.0
Bot,0.9959349593495935,0.9959349593495935,0.9959349593495935,246.0
Brute Force,0.9994855967078189,0.9758915118031141,0.9875476493011436,1991.0
DoS/DDoS,0.9831849653808111,0.994,0.9885629040278469,2000.0
Infiltration,0.875,1.0,0.9333333333333333,7.0
PortScan,0.9889624724061811,0.9218106995884774,0.9542066027689031,486.0
Web Attack,0.9875930521091811,0.9875930521091811,0.9875930521091811,403.0
accuracy,0.9838777512967896,0.9838777512967896,0.9838777512967896,0.9838777512967896
macro avg,0.971014742101988,0.9813900318357666,0.9753865691788703,7133.0
weighted avg,0.9841568502617349,0.9838777512967896,0.9838309108113656,7133.0
