feature,mean_abs_shap,relative_importance,cumulative_importance
Flow_Duration,1.1748598,0.110285915,0.110285915
Flow_IAT_Min,1.0785049,0.10124094,0.21152686
Bwd_Packets_s,1.0690027,0.10034896,0.31187582
Flow_IAT_Mean,0.53383154,0.0501116,0.3619874
Fwd_Packets_s,0.49703878,0.046657804,0.4086452
Bwd_Packet_Length_Mean,0.49623802,0.046582635,0.45522785
Bwd_Packet_Length_Min,0.38819396,0.036440372,0.49166822
PSH_Flag_Count,0.3336217,0.031317588,0.5229858
Fwd_IAT_Min,0.3254597,0.030551407,0.55353725
Flow_IAT_Max,0.32103312,0.03013588,0.5836731
Max_Packet_Length,0.2797995,0.026265213,0.6099383
Fwd_Header_Length,0.27132148,0.02546937,0.6354077
Bwd_Header_Length,0.26236016,0.024628157,0.66003585
Fwd_IAT_Mean,0.24462573,0.022963399,0.68299925
URG_Flag_Count,0.2357756,0.022132624,0.7051319
Bwd_Packet_Length_Std,0.21915488,0.02057241,0.7257043
Average_Packet_Size,0.21302325,0.019996824,0.74570113
Packet_Length_Std,0.19821528,0.018606776,0.7643079
Packet_Length_Mean,0.18637738,0.017495535,0.7818034
Total_Fwd_Packets,0.16713266,0.015689002,0.79749244
Fwd_Packet_Length_Std,0.13818201,0.012971361,0.8104638
Fwd_Packet_Length_Max,0.13618976,0.012784345,0.82324815
Fwd_IAT_Total,0.13544974,0.012714878,0.835963
Fwd_Packet_Length_Mean,0.12595461,0.011823555,0.84778655
Total_Length_of_Fwd_Packets,0.12513691,0.011746797,0.85953337
Fwd_IAT_Std,0.1250283,0.011736601,0.87126994
Min_Packet_Length,0.11563823,0.010855141,0.8821251
Fwd_IAT_Max,0.113975845,0.010699091,0.8928242
Total_Length_of_Bwd_Packets,0.11132578,0.010450324,0.9032745
act_data_pkt_fwd,0.104715124,0.009829772,0.91310424
Bwd_IAT_Min,0.10393262,0.009756316,0.92286056
Fwd_Packet_Length_Min,0.09422918,0.008845439,0.931706
Total_Backward_Packets,0.08032996,0.0075406986,0.9392467
Down_Up_Ratio,0.075165786,0.0070559294,0.94630265
Flow_IAT_Std,0.06255434,0.005872073,0.9521747
Bwd_IAT_Std,0.06106696,0.0057324506,0.9579072
Bwd_IAT_Total,0.05977265,0.005610952,0.96351814
Avg_Bwd_Segment_Size,0.05836876,0.0054791667,0.9689973
ACK_Flag_Count,0.05793996,0.0054389145,0.9744362
Bwd_Packet_Length_Max,0.050948225,0.004782589,0.97921884
Bwd_IAT_Max,0.032105304,0.003013775,0.98223263
Bwd_IAT_Mean,0.031101964,0.0029195899,0.98515224
Fwd_PSH_Flags,0.027591726,0.0025900784,0.9877423
Packet_Length_Variance,0.025992682,0.0024399736,0.9901823
Active_Max,0.018510832,0.0017376406,0.99191993
FIN_Flag_Count,0.016071456,0.0015086526,0.9934286
Idle_Min,0.013742145,0.0012899966,0.9947186
Subflow_Bwd_Bytes,0.011129059,0.0010447021,0.9957633
Active_Min,0.0102269575,0.0009600204,0.9967233
Active_Std,0.008407431,0.00078921864,0.9975125
Active_Mean,0.0069493316,0.0006523446,0.9981649
Idle_Max,0.005494938,0.0005158184,0.9986807
Idle_Mean,0.0054450636,0.0005111366,0.9991918
Subflow_Fwd_Bytes,0.0048332238,0.00045370223,0.99964553
Idle_Std,0.0037771577,0.0003545677,1.0000001
ECE_Flag_Count,0.0,0.0,1.0000001
RST_Flag_Count,0.0,0.0,1.0000001
Fwd_URG_Flags,0.0,0.0,1.0000001
