,feature,mean_abs_shap,relative_importance,cumulative_importance,selected
19,Total_Fwd_Packets,0.16713266,0.015689002,0.79749244,True
18,Packet_Length_Mean,0.18637738,0.017495535,0.7818034,True
17,Packet_Length_Std,0.19821528,0.018606776,0.7643079,True
16,Average_Packet_Size,0.21302325,0.019996824,0.74570113,True
15,Bwd_Packet_Length_Std,0.21915488,0.02057241,0.7257043,True
14,URG_Flag_Count,0.2357756,0.022132624,0.7051319,True
13,Fwd_IAT_Mean,0.24462573,0.022963399,0.68299925,True
12,Bwd_Header_Length,0.26236016,0.024628157,0.66003585,True
11,Fwd_Header_Length,0.27132148,0.02546937,0.6354077,True
10,Max_Packet_Length,0.2797995,0.026265213,0.6099383,True
9,Flow_IAT_Max,0.32103312,0.03013588,0.5836731,True
8,Fwd_IAT_Min,0.3254597,0.030551407,0.55353725,True
7,PSH_Flag_Count,0.3336217,0.031317588,0.5229858,True
6,Bwd_Packet_Length_Min,0.38819396,0.036440372,0.49166822,True
5,Bwd_Packet_Length_Mean,0.49623802,0.046582635,0.45522785,True
4,Fwd_Packets_s,0.49703878,0.046657804,0.4086452,True
3,Flow_IAT_Mean,0.53383154,0.0501116,0.3619874,True
2,Bwd_Packets_s,1.0690027,0.10034896,0.31187582,True
1,Flow_IAT_Min,1.0785049,0.10124094,0.21152686,True
0,Flow_Duration,1.1748598,0.110285915,0.110285915,True
