,feature,BENIGN,Bot,Brute Force,DoS/DDoS,Infiltration,PortScan,Web Attack
0,Flow_Duration,1.5612707,1.8967298,1.3350313,0.35964477,0.97113055,0.6727558,1.4274566
1,Total_Fwd_Packets,0.036050923,0.0017576766,0.0071774237,0.13041987,0.15879159,0.8260517,0.009680575
2,Total_Backward_Packets,0.06487674,0.038470708,0.020406986,0.19480413,0.17582479,0.05422812,0.013699173
3,Total_Length_of_Fwd_Packets,0.18292193,0.070320934,0.13311134,0.040843982,0.23597933,0.20539515,0.0073851496
4,Total_Length_of_Bwd_Packets,0.060976695,0.1375192,0.035439108,0.27162257,0.18958907,0.020346064,0.063788176
5,Fwd_Packet_Length_Max,0.2505254,0.04797178,0.015899634,0.121874936,0.49789193,0.0047577657,0.014406813
6,Fwd_Packet_Length_Min,0.119488776,0.0007135448,0.27578473,0.11742883,0.11727964,0.007846626,0.02106215
7,Fwd_Packet_Length_Mean,0.07260569,0.011513512,0.037144877,0.057011,0.20896249,0.38947427,0.10496878
8,Fwd_Packet_Length_Std,0.051525142,0.060598005,0.3922165,0.03532866,0.2926476,0.0010863718,0.1338722
9,Bwd_Packet_Length_Max,0.052837085,0.140726,0.012421785,0.04278664,0.08559319,0.00010368531,0.022169642
10,Bwd_Packet_Length_Min,0.8871569,0.019542217,1.0581712,0.3333439,0.1375077,0.24997757,0.031657062
11,Bwd_Packet_Length_Mean,0.32890075,1.1575956,0.0040244656,0.23122194,1.617065,0.016151112,0.11870466
12,Bwd_Packet_Length_Std,0.20745051,0.19529237,0.0031027703,0.97201926,0.035019334,0.0,0.12119983
13,Flow_IAT_Mean,0.5840514,0.49341932,0.94685173,0.1769057,0.12864284,0.10054885,1.3064023
14,Flow_IAT_Std,0.13943624,0.01785479,0.05752135,0.07066922,0.09027844,0.042122383,0.019998072
15,Flow_IAT_Max,0.13999172,0.39336583,0.62922466,0.15487172,0.2665066,0.23021121,0.4330568
16,Flow_IAT_Min,0.9994842,1.2376006,2.805327,0.2575253,0.8132668,0.76646245,0.66987044
17,Fwd_IAT_Total,0.14407209,0.097980626,0.042519063,0.14618436,0.33609188,0.0062012863,0.17509912
18,Fwd_IAT_Mean,0.1806218,0.015845727,0.055555284,0.1851212,0.938034,0.10935621,0.22784768
19,Fwd_IAT_Std,0.07367735,0.09763195,0.105014436,0.13897175,0.08747698,0.13823877,0.2341871
20,Fwd_IAT_Max,0.119742125,0.2463381,0.016228465,0.13854367,0.21311682,0.017937308,0.045924097
21,Fwd_IAT_Min,0.2826941,0.0536048,0.08065742,0.14659484,1.1311177,0.043886334,0.53966117
22,Bwd_IAT_Total,0.047051284,0.056943953,0.16163501,0.027421935,0.12252561,0.0011354458,0.0016957219
23,Bwd_IAT_Mean,0.02786588,0.08752141,0.022530623,0.047961812,0.016993862,0.0055480907,0.009292173
24,Bwd_IAT_Std,0.024752025,0.26834556,0.019201301,0.030843908,0.06049531,0.015468056,0.008361685
25,Bwd_IAT_Max,0.02896037,0.07697192,0.0083823595,0.006059839,0.088645995,0.004436071,0.011280663
26,Bwd_IAT_Min,0.047776725,0.20408191,0.15417305,0.028840596,0.13415341,0.0644124,0.09409052
27,Fwd_PSH_Flags,0.004652858,0.0,0.15005492,0.026663285,0.011771142,0.0,0.0
28,Fwd_URG_Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Fwd_Header_Length,0.26915196,0.66469,0.10300365,0.48909947,0.13213632,0.17347626,0.067692496
30,Bwd_Header_Length,0.7555496,0.011798068,0.28185168,0.042684242,0.05801203,0.39578503,0.2908393
31,Fwd_Packets_s,0.281901,0.5286717,0.8862129,0.11862951,0.3632111,0.27428716,1.0263547
32,Bwd_Packets_s,0.2395357,0.72141236,3.2383542,0.7545918,0.680718,1.1894532,0.6589461
33,Min_Packet_Length,0.18192765,0.056250695,0.0011667679,0.042927273,0.52185905,0.0053363205,0.0
34,Max_Packet_Length,0.15354057,0.07011809,0.007835501,0.12906446,0.014502223,0.027697248,1.5558412
35,Packet_Length_Mean,0.079139605,0.051340822,0.08321098,0.0598748,0.18949804,0.6371767,0.2043997
36,Packet_Length_Std,0.25707722,0.38427818,0.18526533,0.14904529,0.09666748,0.24492459,0.07025037
37,Packet_Length_Variance,0.03406616,0.02072786,0.037837643,0.027027093,0.013776128,0.04851426,0.0
38,FIN_Flag_Count,0.0044736555,0.0,0.00085142744,0.10715471,2.0350044e-05,0.0,0.0
39,RST_Flag_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,PSH_Flag_Count,0.0637427,0.00010122477,2.2282333e-05,0.007595621,0.00013955287,2.2317054,0.0320477
41,ACK_Flag_Count,0.0743358,0.0019257851,0.03795371,0.045635816,0.069465,0.17626399,0.0
42,URG_Flag_Count,0.4535426,0.37510556,0.19001263,0.18517493,0.1704431,0.16139774,0.114751354
43,ECE_Flag_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Down_Up_Ratio,0.025842534,0.0027820573,0.041262265,0.32550487,0.00019172601,0.024175834,0.10640072
45,Average_Packet_Size,0.08789837,0.38305196,0.2670773,0.36704603,0.29431242,0.077169366,0.014607362
46,Avg_Bwd_Segment_Size,0.05821152,0.07738224,0.00016870914,0.039569177,0.208455,0.0,0.024795208
47,Subflow_Fwd_Bytes,0.015333897,0.002848781,8.575087e-05,0.012910015,0.0023190368,8.490868e-06,0.00032660074
48,Subflow_Bwd_Bytes,0.0015943451,0.0008665951,0.00012517835,0.022677384,0.016594108,0.027709369,0.008336603
49,act_data_pkt_fwd,0.09538165,0.0037181748,0.061925843,0.04796472,0.50257164,8.9681735e-06,0.021434927
50,Active_Mean,0.017459206,3.8258695e-05,3.1575695e-05,0.0025852735,0.027615422,0.0008907958,2.4887382e-05
51,Active_Std,0.035228267,0.011315362,1.5631986e-05,0.00063637795,0.0114993565,4.956771e-05,0.00010747788
52,Active_Max,0.05209097,0.00497626,0.0,0.0007940154,0.069101445,0.0,0.0026130371
53,Active_Min,0.049974047,0.007600487,1.840741e-05,0.007345497,0.006550576,9.9561e-05,0.0
54,Idle_Mean,0.005549986,0.0,0.00010639252,0.02405474,0.003992449,0.0007175565,0.0036943497
55,Idle_Std,0.0047092694,0.0040824213,3.0231879e-05,0.0017251426,0.015893165,0.0,0.0
