,feature,shap_value,feature_value
30,Bwd_Header_Length,-0.9349551,0.0015874267515625
10,Bwd_Packet_Length_Min,-0.22327027,-0.5961084482965826
11,Bwd_Packet_Length_Mean,-0.06744305,-0.5054867310461678
5,Fwd_Packet_Length_Max,-0.05013239,-0.2894650430232817
49,act_data_pkt_fwd,-0.03826229,-0.008513512368357
20,Fwd_IAT_Max,-0.035948485,-0.3686607905619563
6,Fwd_Packet_Length_Min,-0.032482788,-0.3101401910758194
3,Total_Length_of_Fwd_Packets,-0.031061204,-0.0549654785668823
29,Fwd_Header_Length,-0.027027003,0.0012363828290081
2,Total_Backward_Packets,-0.02150084,-0.0094183683617723
51,Active_Std,-0.014899772,-0.104565454080495
41,ACK_Flag_Count,-0.013012607,1.4717732016678775
52,Active_Max,-0.011329106,-0.1493261765105789
19,Fwd_IAT_Std,-0.010468571,-0.3389291882188769
44,Down_Up_Ratio,-0.01043468,0.4651040671567318
53,Active_Min,-0.0068830024,-0.1010164571130633
50,Active_Mean,-0.0057511767,-0.1257343955618292
47,Subflow_Fwd_Bytes,-0.002243207,-0.0550388847624446
38,FIN_Flag_Count,-0.00033493032,-0.1915133978164143
55,Idle_Std,-0.00023823851,-0.1094602755871198
39,RST_Flag_Count,0.0,-0.0155691316074591
28,Fwd_URG_Flags,0.0,-0.0105494336321307
43,ECE_Flag_Count,0.0,-0.0156031460297896
48,Subflow_Bwd_Bytes,0.00030526338,-0.0071417999825119
27,Fwd_PSH_Flags,0.00055571145,-0.2207006977143416
56,Idle_Max,0.0011349602,-0.3568675600714627
54,Idle_Mean,0.0029174357,-0.3519258981574116
23,Bwd_IAT_Mean,0.0035575503,-0.203189346575117
1,Total_Fwd_Packets,0.0037288913,-0.01115307909468
57,Idle_Min,0.007200031,-0.3389928091936188
24,Bwd_IAT_Std,0.0074649677,-0.2366776757648098
9,Bwd_Packet_Length_Max,0.00927915,-0.4474229608801748
26,Bwd_IAT_Min,0.009786059,-0.1164115223406316
37,Packet_Length_Variance,0.011991573,-0.2950881849921188
22,Bwd_IAT_Total,0.012845888,-0.344293530258274
8,Fwd_Packet_Length_Std,0.016632576,-0.2450686232938675
33,Min_Packet_Length,0.016935732,-0.6511881474056892
7,Fwd_Packet_Length_Mean,0.019854061,-0.3127603675892452
25,Bwd_IAT_Max,0.020764481,-0.2729856104692278
40,PSH_Flag_Count,0.02492515,-0.6516474208392233
42,URG_Flag_Count,0.028415086,3.089650996278249
15,Flow_IAT_Max,0.029786527,-0.3754127264163485
46,Avg_Bwd_Segment_Size,0.041731138,-0.505486731046171
12,Bwd_Packet_Length_Std,0.0518535,-0.3993431333492322
35,Packet_Length_Mean,0.056659397,-0.5628451597522524
14,Flow_IAT_Std,0.08039508,-0.3628285068852499
4,Total_Length_of_Bwd_Packets,0.09320287,-0.0071418531569353
17,Fwd_IAT_Total,0.115598716,-0.4313510537486079
18,Fwd_IAT_Mean,0.12134606,-0.2740152232623816
21,Fwd_IAT_Min,0.1338963,-0.1189431970233738
34,Max_Packet_Length,0.15340999,-0.4685873123493545
45,Average_Packet_Size,0.1776868,-0.5785073692093782
36,Packet_Length_Std,0.29970035,-0.4668811654388694
32,Bwd_Packets_s,0.35464266,0.3111980202294253
31,Fwd_Packets_s,0.58326626,-0.1817804946933331
16,Flow_IAT_Min,0.615944,-0.0550206977040291
0,Flow_Duration,0.66141075,-0.4393452001003211
13,Flow_IAT_Mean,1.0872878,-0.2880239103694747
